face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
3,4,22,11,7,18,1
11,10,27,7,11,18,1
9,3,19,2,6,16,-1
6,8,17,10,8,18,1
3,10,21,11,5,16,1
7,7,17,10,6,16,-1
3,10,20,5,11,16,-1
2,10,23,10,10,20,1
10,6,26,7,10,17,1
6,2,18,10,2,12,-1
2,10,19,2,3,8,-1
3,7,17,5,10,15,-1
9,7,20,5,3,17,-1
10,3,24,7,10,17,1
7,7,25,2,10,12,1
4,3,17,10,5,15,-1
3,8,19,8,5,13,-1
7,10,17,8,6,14,-1
6,5,26,8,8,16,1
6,10,26,8,4,12,1
8,11,19,10,10,20,1
7,11,18,5,6,11,-1
10,8,18,4,10,14,-1
8,10,18,10,10,20,1
7,10,17,2,4,13,-1
5,8,26,10,3,13,1
